"N","min(displacement (0))","q1(displacement (0))","med(displacement (0))","q3(displacement (0))","max(displacement (0))","avg(displacement (0))","std(displacement (0))","min(displacement (1))","q1(displacement (1))","med(displacement (1))","q3(displacement (1))","max(displacement (1))","avg(displacement (1))","std(displacement (1))","min(displacement (2))","q1(displacement (2))","med(displacement (2))","q3(displacement (2))","max(displacement (2))","avg(displacement (2))","std(displacement (2))","min(displacement (Magnitude))","q1(displacement (Magnitude))","med(displacement (Magnitude))","q3(displacement (Magnitude))","max(displacement (Magnitude))","avg(displacement (Magnitude))","std(displacement (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,-1.04248e-05,-1.04248e-05,-1.04248e-05,-1.04248e-05,-1.04248e-05,-1.04248e-05,0,4.0857e-05,4.0857e-05,4.0857e-05,4.0857e-05,4.0857e-05,4.0857e-05,0,4.216599227e-05,4.216599227e-05,4.216599227e-05,4.216599227e-05,4.216599227e-05,4.216599227e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,10
1,0,0,0,0,0,0,0,-1.38061e-05,-1.38061e-05,-1.38061e-05,-1.38061e-05,-1.38061e-05,-1.38061e-05,0,4.8245e-05,4.8245e-05,4.8245e-05,4.8245e-05,4.8245e-05,4.8245e-05,0,5.01815546e-05,5.01815546e-05,5.01815546e-05,5.01815546e-05,5.01815546e-05,5.01815546e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,11
1,0,0,0,0,0,0,0,-1.77932e-05,-1.77932e-05,-1.77932e-05,-1.77932e-05,-1.77932e-05,-1.77932e-05,0,5.60526e-05,5.60526e-05,5.60526e-05,5.60526e-05,5.60526e-05,5.60526e-05,0,5.880894433e-05,5.880894433e-05,5.880894433e-05,5.880894433e-05,5.880894433e-05,5.880894433e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,12
1,0,0,0,0,0,0,0,-2.23821e-05,-2.23821e-05,-2.23821e-05,-2.23821e-05,-2.23821e-05,-2.23821e-05,0,6.42842e-05,6.42842e-05,6.42842e-05,6.42842e-05,6.42842e-05,6.42842e-05,0,6.806920574e-05,6.806920574e-05,6.806920574e-05,6.806920574e-05,6.806920574e-05,6.806920574e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,13
1,0,0,0,0,0,0,0,-2.75483e-05,-2.75483e-05,-2.75483e-05,-2.75483e-05,-2.75483e-05,-2.75483e-05,0,7.29641e-05,7.29641e-05,7.29641e-05,7.29641e-05,7.29641e-05,7.29641e-05,0,7.79914657e-05,7.79914657e-05,7.79914657e-05,7.79914657e-05,7.79914657e-05,7.79914657e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,14
1,0,0,0,0,0,0,0,-3.32495e-05,-3.32495e-05,-3.32495e-05,-3.32495e-05,-3.32495e-05,-3.32495e-05,0,8.21346e-05,8.21346e-05,8.21346e-05,8.21346e-05,8.21346e-05,8.21346e-05,0,8.860937742e-05,8.860937742e-05,8.860937742e-05,8.860937742e-05,8.860937742e-05,8.860937742e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,15
1,0,0,0,0,0,0,0,-3.94285e-05,-3.94285e-05,-3.94285e-05,-3.94285e-05,-3.94285e-05,-3.94285e-05,0,9.18529e-05,9.18529e-05,9.18529e-05,9.18529e-05,9.18529e-05,9.18529e-05,0,9.995780035e-05,9.995780035e-05,9.995780035e-05,9.995780035e-05,9.995780035e-05,9.995780035e-05,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,16
1,0,0,0,0,0,0,0,-4.60175e-05,-4.60175e-05,-4.60175e-05,-4.60175e-05,-4.60175e-05,-4.60175e-05,0,0.000102187,0.000102187,0.000102187,0.000102187,0.000102187,0.000102187,0,0.0001120704835,0.0001120704835,0.0001120704835,0.0001120704835,0.0001120704835,0.0001120704835,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,17
1,0,0,0,0,0,0,0,-5.29435e-05,-5.29435e-05,-5.29435e-05,-5.29435e-05,-5.29435e-05,-5.29435e-05,0,0.000113209,0.000113209,0.000113209,0.000113209,0.000113209,0.000113209,0,0.0001249771654,0.0001249771654,0.0001249771654,0.0001249771654,0.0001249771654,0.0001249771654,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,18
1,0,0,0,0,0,0,0,-6.0134e-05,-6.0134e-05,-6.0134e-05,-6.0134e-05,-6.0134e-05,-6.0134e-05,0,0.000124993,0.000124993,0.000124993,0.000124993,0.000124993,0.000124993,0,0.0001387059768,0.0001387059768,0.0001387059768,0.0001387059768,0.0001387059768,0.0001387059768,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,19
